image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,block,list,exp_version,stimulus,baseline,baseline_condition,trial_no,psychopy_trial,Column1,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micRespv1l1.started,keyResp.keys,keyResp.corr,keyResp.rt,subjResponse,micRespv1l1.clip,textBlankLoop.started,textBlankLoop.stopped,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,textboxPause.started,keyPause.started,keyPause.rt,textboxGoodbye.started,textboxGoodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,9.091509599995334,11.587729499995476,11.587729499995476,11.587729499995476,11.587729499995476,space,8.783499100012705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010101,001,2023-11-10_13h54.48.695,REPSWITCH1_version1_list1,2022.2.4,143.9951156551907,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.38743329999852,20.38743329999852,20.38743329999852,20.38743329999852,20.38743329999852,20.38743329999852,20.38743329999852,20.38743329999852,20.38743329999852,20.38743329999852,20.38743329999852,20.38743329999852,20.38743329999852,space,4.898779400013154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010101,001,2023-11-10_13h54.48.695,REPSWITCH1_version1_list1,2022.2.4,143.9951156551907,
REPSWITCH1/PICTURE_340.png,espejo,type,darkblue,filler,1,F,1,1,1,1,Extra1,0,None,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,25.38114750001114,26.534111800021492,26.534111800021492,26.534111800021492,26.534111800021492,26.534111800021492,26.534111800021492,26.534111800021492,26.534111800021492,"['s', 'p', 'e', 'j', 'o']",0,"[1.5486688000091817, 1.929457399994135, 2.1230640999856405, 2.5258161000092514, 2.5945866999973077]",spejo,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/010101_REPSWITCH1_version1_list1_2023-11-10_13h54.48.695_micRespv1l1_recorded\recording_micRespv1l1_2023-11-10_13h55.10.928.wav,29.555302499997197,30.055382200021995,None,,,,,,,,,,,,010101,001,2023-11-10_13h54.48.695,REPSWITCH1_version1_list1,2022.2.4,143.9951156551907,
REPSWITCH1/PICTURE_391.png,cadena,speak,gold,filler,2,F,1,1,1,1,Extra2,0,None,2,1,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,30.055382200021995,31.194432999996934,31.194432999996934,31.194432999996934,31.194432999996934,31.194432999996934,31.194432999996934,31.194432999996934,31.194432999996934,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/010101_REPSWITCH1_version1_list1_2023-11-10_13h54.48.695_micRespv1l1_recorded\recording_micRespv1l1_2023-11-10_13h55.15.592.wav,34.222625499998685,34.722686000022804,None,34.222625499998685,34.222625499998685,34.222625499998685,34.222625499998685,34.222625499998685,34.222625499998685,,,,,,010101,001,2023-11-10_13h54.48.695,REPSWITCH1_version1_list1,2022.2.4,143.9951156551907,
REPSWITCH1/PICTURE_178.png,puente,speak,gold,nontarget,2,NT,1,1,1,1,Stim1_Set1,1,repeat,3,2,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,34.722686000022804,35.88252770001418,35.88252770001418,35.88252770001418,35.88252770001418,35.88252770001418,35.88252770001418,35.88252770001418,35.88252770001418,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/010101_REPSWITCH1_version1_list1_2023-11-10_13h54.48.695_micRespv1l1_recorded\recording_micRespv1l1_2023-11-10_13h55.20.279.wav,38.91072919999715,39.410792500013486,None,38.91072919999715,38.91072919999715,38.91072919999715,38.91072919999715,38.91072919999715,38.91072919999715,,,,,,010101,001,2023-11-10_13h54.48.695,REPSWITCH1_version1_list1,2022.2.4,143.9951156551907,
REPSWITCH1/PICTURE_178.png,puente,speak,gold,repeat,2,T,1,1,1,1,Stim1_Set1,0,None,4,3,4,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,39.410792500013486,40.57066940001096,40.57066940001096,40.57066940001096,40.57066940001096,40.57066940001096,40.57066940001096,40.57066940001096,40.57066940001096,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/010101_REPSWITCH1_version1_list1_2023-11-10_13h54.48.695_micRespv1l1_recorded\recording_micRespv1l1_2023-11-10_13h55.24.966.wav,43.59187900001416,44.09193819999928,None,43.59187900001416,43.59187900001416,43.59187900001416,43.59187900001416,43.59187900001416,43.59187900001416,,,,,,010101,001,2023-11-10_13h54.48.695,REPSWITCH1_version1_list1,2022.2.4,143.9951156551907,
REPSWITCH1/PICTURE_319.png,vaca,type,darkblue,filler,1,F,1,1,1,1,Stim1_Set4,0,None,5,4,5,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,44.09193819999928,45.161517400003504,45.161517400003504,45.161517400003504,45.161517400003504,45.161517400003504,45.161517400003504,45.161517400003504,45.161517400003504,"['v', 'a', 'c', 'a']",0,"[1.2281668999930844, 1.3786553000099957, 1.5205078000144567, 1.6620326999982353]",vaca,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/010101_REPSWITCH1_version1_list1_2023-11-10_13h54.48.695_micRespv1l1_recorded\recording_micRespv1l1_2023-11-10_13h55.29.559.wav,48.189685599994846,48.689784700021846,None,48.189685599994846,48.189685599994846,48.189685599994846,48.189685599994846,48.189685599994846,48.189685599994846,,,,,,010101,001,2023-11-10_13h54.48.695,REPSWITCH1_version1_list1,2022.2.4,143.9951156551907,
REPSWITCH1/PICTURE_381.png,fresa,speak,gold,nontarget,2,NT,1,1,1,1,Stim2_Set1,1,switch,6,5,6,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,48.689784700021846,49.81494680000469,49.81494680000469,49.81494680000469,49.81494680000469,49.81494680000469,49.81494680000469,49.81494680000469,49.81494680000469,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/010101_REPSWITCH1_version1_list1_2023-11-10_13h54.48.695_micRespv1l1_recorded\recording_micRespv1l1_2023-11-10_13h55.34.212.wav,52.843109900015406,,None,52.843109900015406,52.843109900015406,52.843109900015406,52.843109900015406,52.843109900015406,52.843109900015406,,,,,,010101,001,2023-11-10_13h54.48.695,REPSWITCH1_version1_list1,2022.2.4,143.9951156551907,
REPSWITCH1/PICTURE_381.png,fresa,speak,gold,repeat,2,T,1,1,1,1,Stim2_Set1,0,None,7,6,7,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,53.34316899999976,54.41275940000196,54.41275940000196,54.41275940000196,54.41275940000196,54.41275940000196,54.41275940000196,54.41275940000196,54.41275940000196,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/010101_REPSWITCH1_version1_list1_2023-11-10_13h54.48.695_micRespv1l1_recorded\recording_micRespv1l1_2023-11-10_13h55.38.809.wav,57.433972900005756,57.93404880000162,None,57.433972900005756,57.433972900005756,57.433972900005756,57.433972900005756,57.433972900005756,57.433972900005756,,,,,,010101,001,2023-11-10_13h54.48.695,REPSWITCH1_version1_list1,2022.2.4,143.9951156551907,
REPSWITCH1/PICTURE_719.png,baño,type,darkblue,filler,1,F,1,1,1,1,Stim2_Set4,1,switch,8,7,8,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,57.93404880000162,59.05221039999742,59.05221039999742,59.05221039999742,59.05221039999742,59.05221039999742,59.05221039999742,59.05221039999742,59.05221039999742,"['b', 'a', 'n', 'o']",0,"[1.3170134000247344, 1.5053740000003017, 2.753269000008004, 2.822257300023921]",bano,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/010101_REPSWITCH1_version1_list1_2023-11-10_13h54.48.695_micRespv1l1_recorded\recording_micRespv1l1_2023-11-10_13h55.43.449.wav,62.08041220001178,,None,62.08041220001178,62.08041220001178,62.08041220001178,62.08041220001178,62.08041220001178,62.08041220001178,,,,,,010101,001,2023-11-10_13h54.48.695,REPSWITCH1_version1_list1,2022.2.4,143.9951156551907,
